,R,G,B,hist,framenum,frameName
6,145.12987013,171.38961039,144.844155844,0.0583333333333,6.0,tarzan/tarzan-006.png
7,187.0,213.3,195.2,0.0227272727273,6.0,tarzan/tarzan-006.png
0,33.6506550218,44.0611353712,26.3100436681,0.174242424242,7.0,tarzan/tarzan-007.png
1,53.1535087719,65.25,43.1929824561,0.172727272727,7.0,tarzan/tarzan-007.png
2,74.5242718447,86.1601941748,62.572815534,0.156060606061,7.0,tarzan/tarzan-007.png
3,16.6553398058,23.9757281553,12.3737864078,0.155303030303,7.0,tarzan/tarzan-007.png
4,115.44973545,126.571428571,102.783068783,0.143181818182,7.0,tarzan/tarzan-007.png
5,96.0733333333,108.033333333,81.4933333333,0.113636363636,7.0,tarzan/tarzan-007.png
6,137.083333333,168.619047619,141.607142857,0.0636363636364,7.0,tarzan/tarzan-007.png
7,190.964285714,217.535714286,199.535714286,0.0212121212121,7.0,tarzan/tarzan-007.png
0,12.5637583893,21.4675615213,6.31991051454,0.337878787879,8.0,tarzan/tarzan-008.png
1,25.3247863248,35.1709401709,15.1196581197,0.266666666667,8.0,tarzan/tarzan-008.png
2,46.8009049774,52.8868778281,30.6063348416,0.167424242424,8.0,tarzan/tarzan-008.png
3,74.3951612903,81.0483870968,55.0,0.0939393939394,8.0,tarzan/tarzan-008.png
4,100.436781609,106.75862069,83.1954022989,0.0659090909091,8.0,tarzan/tarzan-008.png
5,135.45,140.875,116.125,0.030303030303,8.0,tarzan/tarzan-008.png
6,213.814814815,232.666666667,221.037037037,0.0204545454545,8.0,tarzan/tarzan-008.png
7,175.782608696,190.043478261,167.913043478,0.0174242424242,8.0,tarzan/tarzan-008.png
0,12.2527233115,21.1546840959,6.0,0.347727272727,9.0,tarzan/tarzan-009.png
1,25.2970822281,35.299734748,15.0424403183,0.285606060606,9.0,tarzan/tarzan-009.png
2,47.9343434343,54.1616161616,31.1818181818,0.15,9.0,tarzan/tarzan-009.png
3,74.5203252033,81.8617886179,55.6016260163,0.0924242424242,9.0,tarzan/tarzan-009.png
4,106.407894737,112.671052632,86.9473684211,0.0583333333333,9.0,tarzan/tarzan-009.png
5,137.6,144.225,118.975,0.030303030303,9.0,tarzan/tarzan-009.png
6,214.153846154,232.153846154,221.230769231,0.019696969697,9.0,tarzan/tarzan-009.png
7,172.904761905,192.714285714,168.857142857,0.0159090909091,9.0,tarzan/tarzan-009.png
0,11.9845474614,19.8785871965,5.80794701987,0.343939393939,10.0,tarzan/tarzan-010.png
1,23.2219321149,33.8720626632,13.6762402089,0.289393939394,10.0,tarzan/tarzan-010.png
2,42.320855615,49.2406417112,27.3903743316,0.141666666667,10.0,tarzan/tarzan-010.png
3,63.6020408163,72.9897959184,47.4285714286,0.0742424242424,10.0,tarzan/tarzan-010.png
4,91.0909090909,99.4090909091,71.9431818182,0.0666666666667,10.0,tarzan/tarzan-010.png
5,127.735849057,133.867924528,107.339622642,0.0401515151515,10.0,tarzan/tarzan-010.png
6,165.258064516,184.290322581,160.290322581,0.0234848484848,10.0,tarzan/tarzan-010.png
7,213.555555556,231.407407407,219.962962963,0.0204545454545,10.0,tarzan/tarzan-010.png
0,11.296460177,18.9690265487,5.72787610619,0.340151515152,11.0,tarzan/tarzan-011.png
1,23.349127182,33.5835411471,13.433915212,0.304545454545,11.0,tarzan/tarzan-011.png
2,43.4390243902,50.6926829268,28.1951219512,0.156818181818,11.0,tarzan/tarzan-011.png
3,71.6413043478,80.3913043478,54.4891304348,0.069696969697,11.0,tarzan/tarzan-011.png
4,102.202531646,109.35443038,82.7215189873,0.0598484848485,11.0,tarzan/tarzan-011.png
5,136.418604651,144.441860465,119.441860465,0.0325757575758,11.0,tarzan/tarzan-011.png
6,214.285714286,232.607142857,221.285714286,0.0212121212121,11.0,tarzan/tarzan-011.png
7,175.85,192.65,168.85,0.0151515151515,11.0,tarzan/tarzan-011.png
0,22.1934156379,26.4526748971,15.3703703704,0.184090909091,12.0,tarzan/tarzan-012.png
1,42.8589211618,46.0,29.846473029,0.182575757576,12.0,tarzan/tarzan-012.png
2,62.2037914692,66.4976303318,42.3791469194,0.159848484848,12.0,tarzan/tarzan-012.png
3,82.6031746032,89.1375661376,60.328042328,0.143181818182,12.0,tarzan/tarzan-012.png
4,100.09039548,107.610169492,77.0903954802,0.134090909091,12.0,tarzan/tarzan-012.png
5,117.331395349,124.104651163,95.0523255814,0.130303030303,12.0,tarzan/tarzan-012.png
6,135.078125,146.015625,114.15625,0.0484848484848,12.0,tarzan/tarzan-012.png
7,161.260869565,181.826086957,152.086956522,0.0174242424242,12.0,tarzan/tarzan-012.png
0,34.8928571429,38.1642857143,23.5035714286,0.212121212121,13.0,tarzan/tarzan-013.png
1,18.3657587549,23.0038910506,13.0194552529,0.194696969697,13.0,tarzan/tarzan-013.png
2,53.0909090909,55.3205741627,34.6411483254,0.158333333333,13.0,tarzan/tarzan-013.png
3,108.360465116,115.523255814,87.0465116279,0.130303030303,13.0,tarzan/tarzan-013.png
4,89.6666666667,96.0576923077,66.8333333333,0.118181818182,13.0,tarzan/tarzan-013.png
5,70.0354609929,75.0,49.2624113475,0.106818181818,13.0,tarzan/tarzan-013.png
6,125.847058824,136.764705882,105.894117647,0.0643939393939,13.0,tarzan/tarzan-013.png
7,153.0,182.65,148.1,0.0151515151515,13.0,tarzan/tarzan-013.png
0,116.583941606,127.981751825,96.8138686131,0.207575757576,14.0,tarzan/tarzan-014.png
1,99.0942622951,108.032786885,77.7540983607,0.184090909091,14.0,tarzan/tarzan-014.png
2,81.2091836735,88.6836734694,61.1632653061,0.149242424242,14.0,tarzan/tarzan-014.png
3,43.9127906977,47.9534883721,37.4360465116,0.130303030303,14.0,tarzan/tarzan-014.png
4,59.8101265823,67.5696202532,51.5189873418,0.119696969697,14.0,tarzan/tarzan-014.png
5,19.3360655738,20.0983606557,14.5737704918,0.0924242424242,14.0,tarzan/tarzan-014.png
6,139.170212766,158.776595745,127.191489362,0.0712121212121,14.0,tarzan/tarzan-014.png
7,174.9,190.45,166.033333333,0.0454545454545,14.0,tarzan/tarzan-014.png
0,115.274368231,126.321299639,95.4909747292,0.209848484848,15.0,tarzan/tarzan-015.png
1,97.5083333333,104.933333333,75.8125,0.181818181818,15.0,tarzan/tarzan-015.png
2,79.2580645161,86.6344086022,59.6935483871,0.140909090909,15.0,tarzan/tarzan-015.png
3,44.2151898734,49.8417721519,34.664556962,0.119696969697,15.0,tarzan/tarzan-015.png
4,58.5294117647,64.522875817,53.4640522876,0.115909090909,15.0,tarzan/tarzan-015.png
5,135.0,153.736,122.272,0.094696969697,15.0,tarzan/tarzan-015.png
6,21.6637931034,22.2327586207,15.8103448276,0.0878787878788,15.0,tarzan/tarzan-015.png
7,173.507692308,188.923076923,164.153846154,0.0492424242424,15.0,tarzan/tarzan-015.png
0,116.364754098,127.463114754,96.7295081967,0.184848484848,16.0,tarzan/tarzan-016.png
1,100.944954128,108.389908257,78.7247706422,0.165151515152,16.0,tarzan/tarzan-016.png
2,84.5505050505,91.9595959596,63.0252525253,0.15,16.0,tarzan/tarzan-016.png
3,64.1857923497,71.0109289617,54.0983606557,0.138636363636,16.0,tarzan/tarzan-016.png
4,18.5714285714,19.6708074534,13.4720496894,0.12196969697,16.0,tarzan/tarzan-016.png
5,44.9419354839,49.0838709677,39.0,0.117424242424,16.0,tarzan/tarzan-016.png
6,135.826086957,157.782608696,124.260869565,0.069696969697,16.0,tarzan/tarzan-016.png
7,172.985507246,187.449275362,162.492753623,0.0522727272727,16.0,tarzan/tarzan-016.png
0,46.9122807018,49.6973684211,30.7850877193,0.172727272727,17.0,tarzan/tarzan-017.png
1,99.9759615385,105.658653846,74.9230769231,0.157575757576,17.0,tarzan/tarzan-017.png
2,81.0922330097,87.432038835,57.4466019417,0.156818181818,17.0,tarzan/tarzan-017.png
3,32.0,34.9371980676,21.1352657005,0.156818181818,17.0,tarzan/tarzan-017.png
4,15.5637254902,19.068627451,10.6274509804,0.154545454545,17.0,tarzan/tarzan-017.png
5,63.3258426966,68.1853932584,43.8146067416,0.134090909091,17.0,tarzan/tarzan-017.png
6,118.712121212,129.954545455,95.5303030303,0.05,17.0,tarzan/tarzan-017.png
7,159.652173913,165.826086957,133.47826087,0.0174242424242,17.0,tarzan/tarzan-017.png
0,17.0258064516,19.8225806452,9.07419354839,0.234848484848,18.0,tarzan/tarzan-018.png
1,30.5158371041,35.2714932127,21.4932126697,0.167424242424,18.0,tarzan/tarzan-018.png
2,86.6391752577,93.3556701031,63.0515463918,0.14696969697,18.0,tarzan/tarzan-018.png
3,69.8333333333,74.609375,47.578125,0.145454545455,18.0,tarzan/tarzan-018.png
4,48.7540983607,51.9344262295,32.0819672131,0.138636363636,18.0,tarzan/tarzan-018.png
5,102.5,112.592857143,79.15,0.106060606061,18.0,tarzan/tarzan-018.png
6,127.724137931,143.965517241,104.810344828,0.0439393939394,18.0,tarzan/tarzan-018.png
7,171.272727273,174.045454545,134.772727273,0.0166666666667,18.0,tarzan/tarzan-018.png
0,19.3643410853,21.7209302326,9.8992248062,0.195454545455,19.0,tarzan/tarzan-019.png
1,90.31640625,97.40234375,66.5234375,0.193939393939,19.0,tarzan/tarzan-019.png
2,73.3974895397,77.9079497908,49.9372384937,0.181060606061,19.0,tarzan/tarzan-019.png
3,33.2575757576,37.6767676768,23.8383838384,0.150757575758,19.0,tarzan/tarzan-019.png
4,52.2371134021,54.8453608247,33.381443299,0.146212121212,19.0,tarzan/tarzan-019.png
5,108.64,123.64,85.96,0.0757575757576,19.0,tarzan/tarzan-019.png
6,139.692307692,150.661538462,111.415384615,0.0492424242424,19.0,tarzan/tarzan-019.png
7,187.1,189.2,148.6,0.00757575757576,19.0,tarzan/tarzan-019.png
0,19.1189591078,21.8773234201,10.4014869888,0.203787878788,20.0,tarzan/tarzan-020.png
1,88.0472440945,95.4881889764,64.6181102362,0.192424242424,20.0,tarzan/tarzan-020.png
2,72.264,77.644,48.88,0.188636363636,20.0,tarzan/tarzan-020.png
3,31.2473684211,37.1105263158,22.6105263158,0.145454545455,20.0,tarzan/tarzan-020.png
4,51.6298342541,53.8397790055,32.2154696133,0.136363636364,20.0,tarzan/tarzan-020.png
5,103.738636364,118.056818182,80.6704545455,0.0666666666667,20.0,tarzan/tarzan-020.png
6,131.518987342,147.202531646,105.379746835,0.0598484848485,20.0,tarzan/tarzan-020.png
7,188.333333333,194.777777778,153.666666667,0.00681818181818,20.0,tarzan/tarzan-020.png
0,12.450617284,16.2880658436,4.68518518518,0.368181818182,21.0,tarzan/tarzan-021.png
1,25.9587628866,29.2164948454,12.0515463918,0.221212121212,21.0,tarzan/tarzan-021.png
2,65.6136363636,66.8693181818,43.2784090909,0.133333333333,21.0,tarzan/tarzan-021.png
3,45.8203592814,47.497005988,26.9221556886,0.125757575758,21.0,tarzan/tarzan-021.png
4,86.9217391304,89.7739130435,64.4434782609,0.0871212121212,21.0,tarzan/tarzan-021.png
5,114.549019608,124.529411765,96.568627451,0.0386363636364,21.0,tarzan/tarzan-021.png
6,150.709677419,163.516129032,139.064516129,0.0234848484848,21.0,tarzan/tarzan-021.png
7,195.0,227.0,212.333333333,0.00227272727273,21.0,tarzan/tarzan-021.png
0,13.3286004057,17.1196754564,5.24949290061,0.373484848485,22.0,tarzan/tarzan-022.png
1,27.9400749064,31.2958801498,13.7752808989,0.202272727273,22.0,tarzan/tarzan-022.png
2,68.6911764706,70.5539215686,46.431372549,0.154545454545,22.0,tarzan/tarzan-022.png
3,49.2594936709,50.2215189873,30.0569620253,0.119696969697,22.0,tarzan/tarzan-022.png
4,91.5,95.4591836735,69.2551020408,0.0742424242424,22.0,tarzan/tarzan-022.png
5,121.0,131.278688525,103.885245902,0.0462121212121,22.0,tarzan/tarzan-022.png
6,151.0,165.515151515,140.515151515,0.025,22.0,tarzan/tarzan-022.png
7,197.333333333,218.0,201.0,0.00454545454545,22.0,tarzan/tarzan-022.png
0,12.1921182266,16.1206896552,4.57881773399,0.308333333333,23.0,tarzan/tarzan-023.png
1,25.3396825397,28.8095238095,12.1238095238,0.237878787879,23.0,tarzan/tarzan-023.png
2,64.6666666667,65.8717948718,42.9025641026,0.147727272727,23.0,tarzan/tarzan-023.png
3,43.775,46.5125,25.35,0.121212121212,23.0,tarzan/tarzan-023.png
4,84.8446601942,84.6990291262,60.0776699029,0.0780303030303,23.0,tarzan/tarzan-023.png
5,102.121212121,109.242424242,82.0303030303,0.05,23.0,tarzan/tarzan-023.png
6,129.347826087,141.239130435,114.739130435,0.0348484848485,23.0,tarzan/tarzan-023.png
7,157.137931034,176.965517241,151.379310345,0.0219696969697,23.0,tarzan/tarzan-023.png
0,6.52208835341,10.6666666667,5.47791164659,0.188636363636,24.0,tarzan/tarzan-024.png
