,R,G,B,hist,framenum,frameName
7,46.3,55.7,62.3,0.01,8.0,monstruo/monstruo-008.png
0,7.39142857143,4.44,3.76571428571,0.35,9.0,monstruo/monstruo-009.png
1,13.793594306,9.73309608541,7.39145907473,0.281,9.0,monstruo/monstruo-009.png
2,7.45625,9.34375,10.9125,0.16,9.0,monstruo/monstruo-009.png
3,22.0661764706,17.3235294118,14.9338235294,0.136,9.0,monstruo/monstruo-009.png
4,17.1,22.1,34.8,0.04,9.0,monstruo/monstruo-009.png
5,21.5416666667,34.125,56.9583333333,0.024,9.0,monstruo/monstruo-009.png
6,47.625,58.875,67.25,0.008,9.0,monstruo/monstruo-009.png
7,120.0,124.0,127.0,0.001,9.0,monstruo/monstruo-009.png
0,6.06684491979,2.56951871658,2.41176470588,0.374,10.0,monstruo/monstruo-010.png
1,14.0628272251,9.16753926702,4.48691099476,0.191,10.0,monstruo/monstruo-010.png
2,9.94797687861,5.23121387283,2.77456647399,0.173,10.0,monstruo/monstruo-010.png
3,17.3355704698,12.7315436242,6.46979865772,0.149,10.0,monstruo/monstruo-010.png
4,22.4736842105,17.6736842105,10.9578947368,0.095,10.0,monstruo/monstruo-010.png
5,31.8,26.7333333333,19.8666666667,0.015,10.0,monstruo/monstruo-010.png
6,80.5,79.0,72.0,0.002,10.0,monstruo/monstruo-010.png
7,147.0,147.0,147.0,0.001,10.0,monstruo/monstruo-010.png
0,5.39726027397,2.28424657534,2.39383561644,0.292,11.0,monstruo/monstruo-011.png
1,8.83928571429,4.30357142857,2.58928571429,0.224,11.0,monstruo/monstruo-011.png
2,13.2044198895,8.47513812155,4.10497237569,0.181,11.0,monstruo/monstruo-011.png
3,17.0285714286,11.9142857143,5.33714285714,0.175,11.0,monstruo/monstruo-011.png
4,21.6346153846,17.0096153846,10.375,0.104,11.0,monstruo/monstruo-011.png
5,33.1363636364,27.4545454545,20.3636363636,0.022,11.0,monstruo/monstruo-011.png
6,155.0,157.0,159.0,0.001,11.0,monstruo/monstruo-011.png
7,94.0,95.0,91.0,0.001,11.0,monstruo/monstruo-011.png
0,5.8835978836,2.48412698413,2.43121693122,0.378,12.0,monstruo/monstruo-012.png
1,14.3034825871,9.23880597015,4.23880597015,0.201,12.0,monstruo/monstruo-012.png
2,10.0172413793,5.26436781609,2.53448275862,0.174,12.0,monstruo/monstruo-012.png
3,17.4013605442,12.5850340136,6.23129251701,0.148,12.0,monstruo/monstruo-012.png
4,21.8395061728,17.1975308642,10.4197530864,0.08,12.0,monstruo/monstruo-012.png
5,32.7058823529,26.9411764706,20.4705882353,0.017,12.0,monstruo/monstruo-012.png
6,153.0,155.0,157.0,0.001,12.0,monstruo/monstruo-012.png
7,89.0,93.0,88.0,0.001,12.0,monstruo/monstruo-012.png
0,6.37268518519,2.74537037037,2.35416666667,0.432,13.0,monstruo/monstruo-013.png
1,16.3534482759,11.275862069,5.34913793103,0.232,13.0,monstruo/monstruo-013.png
2,11.981042654,7.0663507109,3.69668246445,0.211,13.0,monstruo/monstruo-013.png
3,21.141509434,16.6603773585,10.0754716981,0.106,13.0,monstruo/monstruo-013.png
4,36.0714285714,30.7142857143,23.7857142857,0.014,13.0,monstruo/monstruo-013.png
5,57.6666666667,52.3333333333,46.3333333333,0.003,13.0,monstruo/monstruo-013.png
6,90.0,94.0,89.0,0.001,13.0,monstruo/monstruo-013.png
7,150.0,152.0,154.0,0.001,13.0,monstruo/monstruo-013.png
0,8.99450549451,13.7252747253,18.7032967033,0.368,14.0,monstruo/monstruo-014.png
